"";"lm1";"l0";"l1";"a";"l_stop0";"l_stop"
"1";0;-14262,9881888997;0;0;0;NA
"2";0;-14262,9881888997;-4699,35697970055;-0,670520867194023;NA;-8538,04850271476
"3";-4699,35697970055;-4699,35697970055;-7089,77381507653;-Inf;NA;-4699,35697970055
"4";-7089,77381507653;-7089,77381507653;-6708,77414399474;Inf;NA;-7089,77381507653
"5";-6708,77414399474;-6708,77414399474;-6601,19552621462;Inf;NA;-6708,77414399474
"6";-6601,19552621462;-6601,19552621462;-6545,09555713844;Inf;NA;-6601,19552621462
"7";-6545,09555713844;-6545,09555713844;-6495,31454140093;Inf;NA;-6545,09555713844
"8";-6495,31454140093;-6495,31454140093;-6430,95563459583;Inf;NA;-6495,31454140093
"9";-6430,95563459583;-6430,95563459583;-6372,40057334196;Inf;NA;-6430,95563459583
"10";-6372,40057334196;-6372,40057334196;-6325,54876111126;Inf;NA;-6372,40057334196
"11";-6325,54876111126;-6325,54876111126;-6286,48574458486;Inf;NA;-6325,54876111126
"12";-6286,48574458486;-6286,48574458486;-6251,39996572208;Inf;NA;-6286,48574458486
"13";-6251,39996572208;-6251,39996572208;-6218,27890989558;Inf;NA;-6251,39996572208
"14";-6218,27890989558;-6218,27890989558;-6186,33998839162;Inf;NA;-6218,27890989558
"15";-6186,33998839162;-6186,33998839162;-6155,46996149292;Inf;NA;-6186,33998839162
"16";-6155,46996149292;-6155,46996149292;-6125,88531329977;Inf;NA;-6155,46996149292
"17";-6125,88531329977;-6125,88531329977;-6097,91054376145;Inf;NA;-6125,88531329977
"18";-6097,91054376145;-6097,91054376145;-6071,83603636885;Inf;NA;-6097,91054376145
"19";-6071,83603636885;-6071,83603636885;-6047,85582638083;Inf;NA;-6071,83603636885
"20";-6047,85582638083;-6047,85582638083;-6026,06100652046;Inf;NA;-6047,85582638083
"21";-6026,06100652046;-6026,06100652046;-6006,45205202873;Inf;NA;-6026,06100652046
"22";-6006,45205202873;-6006,45205202873;-5988,95448971882;Inf;NA;-6006,45205202873
"23";-5988,95448971882;-5988,95448971882;-5973,43827890222;Inf;NA;-5988,95448971882
"24";-5973,43827890222;-5973,43827890222;-5959,73962255519;Inf;NA;-5973,43827890222
"25";-5959,73962255519;-5959,73962255519;-5947,6804338265;Inf;NA;-5959,73962255519
"26";-5947,6804338265;-5947,6804338265;-5937,08232408078;Inf;NA;-5947,6804338265
"27";-5937,08232408078;-5937,08232408078;-5927,77506253243;Inf;NA;-5937,08232408078
"28";-5927,77506253243;-5927,77506253243;-5919,60099050904;Inf;NA;-5927,77506253243
"29";-5919,60099050904;-5919,60099050904;-5912,41693351082;Inf;NA;-5919,60099050904
"30";-5912,41693351082;-5912,41693351082;-5906,09468178322;Inf;NA;-5912,41693351082
"31";-5906,09468178322;-5906,09468178322;-5900,5206634007;Inf;NA;-5906,09468178322
