"";"lm1";"l0";"l1";"a";"l_stop"
"1";0;-14262,9881888997;0;0;0
"2";0;-14262,9881888997;-4699,35697970055;-0,670520867194023;-8538,04850271476
"3";-14262,9881888997;-4699,35697970055;-7089,77381507653;-0,249948663126686;-6611,7689898038
"4";-4699,35697970055;-7089,77381507653;-6708,77414399474;-0,159386290057592;-6761,15196199005
"5";-7089,77381507653;-6708,77414399474;-6601,19552621462;0,282358820611767;-6558,86828453468
"6";-6708,77414399474;-6601,19552621462;-6545,09555713844;0,521478805303472;-6483,95940439194
"7";-6601,19552621462;-6545,09555713844;-6495,31454140093;0,887362623496559;-6103,13732548527
"8";-6545,09555713844;-6495,31454140093;-6430,95563459583;1,29284037000069;-6715,08924939267
"9";-6495,31454140093;-6430,95563459583;-6372,40057334196;0,909820631838807;-5781,63791982539
"10";-6430,95563459583;-6372,40057334196;-6325,54876111126;0,800132579958802;-6137,98611889488
"11";-6372,40057334196;-6325,54876111126;-6286,48574458486;0,833756789044723;-6090,57365264258
"12";-6325,54876111126;-6286,48574458486;-6251,39996572208;0,898184062131256;-5941,88567904295
"13";-6286,48574458486;-6251,39996572208;-6218,27890989558;0,94400229665793;-5659,92828296088
"14";-6251,39996572208;-6218,27890989558;-6186,33998839162;0,964308676368235;-5323,41376469984
"15";-6218,27890989558;-6186,33998839162;-6155,46996149292;0,966533165337569;-5263,93345637048
"16";-6186,33998839162;-6155,46996149292;-6125,88531329977;0,958361594249011;-5444,95649058648
"17";-6155,46996149292;-6125,88531329977;-6097,91054376145;0,945583985169858;-5611,79456950596
"18";-6125,88531329977;-6097,91054376145;-6071,83603636885;0,932072285953281;-5714,05385494858
"19";-6097,91054376145;-6071,83603636885;-6047,85582638083;0,919680269580928;-5773,27664301806
"20";-6071,83603636885;-6047,85582638083;-6026,06100652046;0,90886693115982;-5808,70202482721
"21";-6047,85582638083;-6026,06100652046;-6006,45205202873;0,899707114688054;-5830,5441018992
"22";-6026,06100652046;-6006,45205202873;-5988,95448971882;0,892325101641582;-5843,94841769355
"23";-6006,45205202873;-5988,95448971882;-5973,43827890222;0,886764141300135;-5851,92889557621
"24";-5988,95448971882;-5973,43827890222;-5959,73962255519;0,88286093228228;-5856,49474662109
"25";-5973,43827890222;-5959,73962255519;-5947,6804338265;0,88031909285096;-5858,97844839667
"26";-5959,73962255519;-5947,6804338265;-5937,08232408078;0,878841021908561;-5860,20767767866
"27";-5947,6804338265;-5937,08232408078;-5927,77506253243;0,878200148108546;-5860,66793273447
"28";-5937,08232408078;-5927,77506253243;-5919,60099050904;0,878246730353669;-5860,6386969372
"29";-5927,77506253243;-5919,60099050904;-5912,41693351082;0,878883496213459;-5860,28572980039
"30";-5919,60099050904;-5912,41693351082;-5906,09468178322;0,880039193615701;-5859,7142890542
"31";-5912,41693351082;-5906,09468178322;-5900,5206634007;0,881650814088965;-5858,99661059999
"32";-5906,09468178322;-5900,5206634007;-5895,59515425622;0,883654987564899;-5858,1852934403
"33";-5900,5206634007;-5895,59515425622;-5891,23122377662;0,885985661905193;-5857,31987631731
"34";-5895,59515425622;-5891,23122377662;-5887,3535437121;0,888575123423472;-5856,43037693109
"35";-5891,23122377662;-5887,3535437121;-5883,8971490965;0,891356315652926;-5855,53950282822
"36";-5887,3535437121;-5883,8971490965;-5880,80621535776;0,89426529158534;-5854,66423414274
"37";-5883,8971490965;-5880,80621535776;-5878,0328959423;0,89724324422987;-5853,81704666839
"38";-5880,80621535776;-5878,0328959423;-5875,53624863633;0,900237921410026;-5853,00688063408
